GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
12103020101,2000,201.01,"Pinellas County, Florida",5841.82,22.25,980.0,44.89,602.0,26974.0,56100.0,33.9,19.53,74.99,2.63,0.17,0.87,0.0,1.51,0.29,68.0,23.0,2.35,6.94,0,0,0
12103020101,2001,201.01,"Pinellas County, Florida",5841.82,22.25,988.0,44.89,602.0,26974.0,56100.0,33.9,19.53,74.99,2.63,0.17,0.87,0.0,1.51,0.29,122.0,52.0,5.26,12.35,0,0,0
12103020101,2002,201.01,"Pinellas County, Florida",5841.82,22.25,996.0,44.89,602.0,26974.0,56100.0,33.9,19.53,74.99,2.63,0.17,0.87,0.0,1.51,0.29,129.0,42.0,4.22,12.95,0,0,0
12103020101,2003,201.01,"Pinellas County, Florida",5841.82,22.25,1005.0,44.89,602.0,26974.0,56100.0,33.9,19.53,74.99,2.63,0.17,0.87,0.0,1.51,0.29,134.0,56.0,5.57,13.34,0,0,0
12103020101,2004,201.01,"Pinellas County, Florida",5841.82,22.25,1013.0,44.89,602.0,26974.0,56100.0,33.9,19.53,74.99,2.63,0.17,0.87,0.0,1.51,0.29,142.0,60.0,5.92,14.02,0,0,0
12103020101,2005,201.01,"Pinellas County, Florida",5035.4,23.16,1021.0,40.54,782.0,28205.0,139300.0,29.1,18.3,69.32,11.11,0.0,0.0,0.0,0.75,0.52,104.0,57.0,5.58,10.18,0,0,0
12103020101,2006,201.01,"Pinellas County, Florida",5035.4,23.16,1030.0,40.54,782.0,28205.0,139300.0,29.1,18.3,69.32,11.11,0.0,0.0,0.0,0.75,0.52,104.0,65.0,6.31,10.1,0,0,0
12103020101,2007,201.01,"Pinellas County, Florida",5035.4,23.16,1038.0,40.54,782.0,28205.0,139300.0,29.1,18.3,69.32,11.11,0.0,0.0,0.0,0.75,0.52,109.0,68.0,6.55,10.5,0,0,0
12103020101,2008,201.01,"Pinellas County, Florida",5035.4,23.16,1046.0,40.54,782.0,28205.0,139300.0,29.1,18.3,69.32,11.11,0.0,0.0,0.0,0.75,0.52,71.0,50.0,4.78,6.79,0,0,0
12103020101,2009,201.01,"Pinellas County, Florida",5035.4,23.16,1055.0,40.54,782.0,28205.0,139300.0,29.1,18.3,69.32,11.11,0.0,0.0,0.0,0.75,0.52,62.0,38.0,3.6,5.88,0,0,0
12103020101,2010,201.01,"Pinellas County, Florida",5253.0,31.51,1063.0,50.93,892.0,26354.0,114200.0,46.0,19.07,73.25,4.53,0.13,0.51,0.0,2.28,0.21,71.0,51.0,4.8,6.68,0,0,0
12103020101,2011,201.01,"Pinellas County, Florida",4885.0,27.88,1088.0,46.65,987.0,26535.0,90600.0,46.7,19.04,75.97,4.95,0.04,0.0,0.0,0.0,0.0,63.0,40.0,3.68,5.79,0,0,0
